model,accuracy,f1_macro,precision,recall
lr,0.428927680798005,0.3900651412079984,0.4145344270571131,0.38642500140075414
svm,0.5760598503740648,0.5381544444118963,0.5364305785007272,0.5436500419979419
rf,0.6134663341645885,0.6017394490923491,0.6009653048325626,0.607859452646981
lgbm,0.5985037406483791,0.5789502146924792,0.5847222825483696,0.5787581246826705
xgb,0.6059850374064838,0.592859352553099,0.593472532758247,0.6051847403446077
cat,0.5461346633416458,0.5537768914223066,0.5624689740761168,0.5826739421961209
